sr,exam_date,exam_name,dms_code,updated_venue_name
192,10/27/2024,BLACK GOLD,STH-KL-5064,KOCHI - STH-KL-5064-RAJAGIRI SCHOOL OF ENGINEERING AND TECHNOLOGY - RSET_2
193,10/27/2024,BLACK GOLD,STH-TN-5264,CHENNAI - STH-TN-5264-VELAMMAL INSTITUTE OF TECHNOLOGY
194,10/27/2024,BLACK GOLD,EST-OR-1199,BHUBANESHWAR - EST-OR-1199-MAA ASSESSMENT CENTER
195,10/27/2024,BLACK GOLD,NR1-UP-3383,LUCKNOW - NR1-UP-3383-SULTAN FOUNDATION LUCKNOW
196,10/27/2024,BLACK GOLD,STH-KA-5948,BANGALORE - STH-KA-5948-E TALENT - PEENYA
197,10/27/2024,BLACK GOLD,STH-KL-5064,KOCHI - STH-KL-5064-RAJAGIRI SCHOOL OF ENGINEERING AND TECHNOLOGY - RSET - 2
198,10/27/2024,BLACK GOLD,STH-TN-5264,CHENNAI - STH-TN-5264-VELAMMAL INSTITUTE OF TECHNOLOGY
199,10/27/2024,IBIS JA,NR2-RJ-4180,BIKANER - NR2-RJ-4180-WISDOM COMPUTER INSTITUTE
200,10/27/2024,IBIS JA,NR2-RJ-4209,JODHPUR - NR2-RJ-4209-SHREE KIRTARAM SHIKSHAN SHANSTHAN
201,10/27/2024,IBIS JA,NR2-RJ-4500,JAIPUR - NR2-RJ-4500-SJM COLLEGE ONLINE EXAM CENTRE_1
202,10/27/2024,IBIS JA,NR2-RJ-4500,JAIPUR - NR2-RJ-4500-SJM COLLEGE ONLINE EXAM CENTRE-1
203,10/27/2024,IBIS JA,NR2-RJ-4576,SIKAR - NR2-RJ-4576-VIDHYA BHARTI SANSTHAN
204,10/27/2024,IBIS JA,WST-MH-2464,MUMBAI - WST-MH-2464-BABASAHEB GAWDE INSTITUTE OF TECHNOLOGY
205,10/27/2024,NECTOR,EST-WB-1131,KOLKATA - EST-WB-1131-MBC MODI HOUSE
206,10/27/2024,NECTOR,NR2-DL-4484,NEW DELHI - NR2-DL-4484-SANGWAN ACADEMY_1
207,10/27/2024,NECTOR,NR2-DL-4484,NEW DELHI - NR2-DL-4484-SANGWAN ACADEMY - 1
208,10/27/2024,NECTOR,STH-TN-5856,CHENNAI - STH-TN-5856-NSEIT LIMITED - CHENNAI
209,10/27/2024,NECTOR,WST-MH-2684,MUMBAI - WST-MH-2684-NSEIT LIMITED - MUMBAI-ANDHERI
